id,category,brand,name,flavor,weightG,priceYen,servings,servingSizeG,proteinPerServing,sweetener,sourceName,sourceUrl
"1","ホエイプロテイン","SAVAS","ホエイプロテイン100","リッチショコラ","980","4980","35","28","20","スクラロース","Rakuten商品ページ","https://item.rakuten.co.jp/rakuten24/e535922h/"
"2","ホエイプロテイン","X-PLOSION","100%ナチュラルホエイ","ミルクチョコ","3000","13790","100","30","21","ステビア","Rakuten商品ページ","https://item.rakuten.co.jp/x-plosion/10000019/"
"3","ホエイプロテイン","Grong","ホエイプロテイン100 スタンダード","バニラ","1000","3480","29","35","21.8","アセスルファムK","Rakuten商品ページ","https://item.rakuten.co.jp/grong/grong-399/"
"4","ホエイプロテイン","Myprotein","Impact Whey Protein","ナチュラルチョコレート","2700","12740","90","30","21","スクラロース","Rakuten商品ページ","https://item.rakuten.co.jp/myprotein/10530943_2500/"
"5","ホエイプロテイン","DNS","PRO-X","プレミアムチョコレート","2000","12308","57","35","24.2","ステビア","Rakuten商品ページ","https://item.rakuten.co.jp/dnsshop/proteinwhey100-a100/"
"6","ホエイプロテイン","be LEGEND","ホエイプロテイン","ベリベリベリー","4500","22860","150","30","20.8","スクラロース","Rakuten商品ページ","https://item.rakuten.co.jp/realstyle4u/bljc07ap1/"
"7","ホエイプロテイン","Optimum Nutrition","Gold Standard 100% Whey","ダブルリッチチョコレート","2270","14580","75","30","24","アセスルファムK","Rakuten商品ページ","https://item.rakuten.co.jp/iherb-official/27509/"
"8","ホエイプロテイン","Kentai","100%ホエイプロテイン","ストロベリー","2300","13677","82","28","20","ステビア","Rakuten商品ページ","https://item.rakuten.co.jp/rakuten24/e522300h/"
"9","ホエイプロテイン","Naturecan Fitness","Clear Whey Isolate","ラ・フランス","2700","26364","90","30","24.5","スクラロース","Rakuten商品ページ","https://item.rakuten.co.jp/naturecan/p_7010519679081/"
"10","ホエイプロテイン","VALX","VALX ホエイプロテイン","チョコレート","3000","19980","100","30","21.8","アスパルテーム","Rakuten商品ページ","https://item.rakuten.co.jp/valx/setc-wpc-3kg/"
"11","ホエイプロテイン","Verifyst","ホエイプロテイン100 3kg","チョコレート風味","3000","11490","100","30","21.7","スクラロース","Rakuten商品ページ","https://item.rakuten.co.jp/verifyst/v00130/"
"12","ソイプロテイン","MAD PROTEIN","ソイプロテイン100","リッチチョコレート","1000","4536","50","20","15.5","ステビア","Rakuten商品ページ","https://item.rakuten.co.jp/dietshop/2258674/"
"13","ソイプロテイン","ULTORA","ソイダイエットプロテイン","ココア風味","810","3790","30","27","17.8","ステビア","Rakuten商品ページ","https://item.rakuten.co.jp/ultora/ulsoy0002/"
"14","ミルクプロテイン","Verifyst","Verifyst（ベリフィスト）ミルクプロテイン100","こくミルク風味","3000","10888","100","30","21.7","スクラロース","Rakuten商品ページ","https://item.rakuten.co.jp/love-dream/100000776"
"15","スキムミルクプロテイン","X-PLOSION","エクスプロージョン スキムミルクプロテイン SMP 100%SKIMMILK","プレーン","3000","5499","50","60","21.4","果糖","Rakuten商品ページ","https://item.rakuten.co.jp/x-plosion/smppl/"
"16","スキムミルクプロテイン","Morinaga","スキムミルク","プレーン","2100","5988","84","25","8.5","なし","Rakuten商品ページ","https://item.rakuten.co.jp/beisia/4902720131292-12/"
"17","ホエイプロテイン","ULTORA","ウルトラ ホエイプロテイン","チョコレート風味","1620","10900","54","30","20.9","ステビア","Rakuten商品ページ","https://item.rakuten.co.jp/ultora/ul0001-2p/"
"18","ミルクプロテイン","be LEGEND","ノンファットミルクプロテイン","ミルクココア","560","2480","14","40","10","ステビア","Rakuten商品ページ","https://item.rakuten.co.jp/realstyle4u/bljc07ap1/"
